Size,Lipid,Orientation,Backbone,PeptideDensity,OligoDensity,Attachment,OligoConc
50,100%,3,PO,0.50,High,DOPE,1000
80,100%,3,PO,0.50,High,DOPE,1000
50,100%,3,PS,0.00,High,Chol,1000
80,100%,3,PS,0.00,High,Chol,1000
50,100%,3,PS,0.05,High,Chol,1000
80,100%,3,PS,0.05,High,Chol,1000
50,100%,3,PS,0.50,High,Chol,1000
80,100%,3,PS,0.50,High,Chol,1000
50,80%,3,PS,0.00,High,Chol,1000
80,80%,3,PS,0.00,High,Chol,1000
50,80%,3,PS,0.05,High,Chol,1000
80,80%,3,PS,0.05,High,Chol,1000
50,80%,3,PS,0.50,High,Chol,1000
80,80%,3,PS,0.50,High,Chol,1000
50,100%,3,PS,0.00,High,DOPE,1000
80,100%,3,PS,0.00,High,DOPE,1000
50,100%,3,PS,0.05,High,DOPE,1000
80,100%,3,PS,0.05,High,DOPE,1000
50,100%,3,PS,0.50,High,DOPE,1000
80,100%,3,PS,0.50,High,DOPE,1000
50,100%,5,PO,0.00,High,Chol,1000
80,100%,5,PO,0.00,High,Chol,1000
50,100%,5,PO,0.05,High,Chol,1000
80,100%,5,PO,0.05,High,Chol,1000
50,100%,5,PO,0.50,High,Chol,1000
80,100%,5,PO,0.50,High,Chol,1000
50,80%,5,PO,0.00,High,Chol,1000
80,80%,5,PO,0.00,High,Chol,1000
50,80%,5,PO,0.05,High,Chol,1000
80,80%,5,PO,0.05,High,Chol,1000
50,80%,5,PO,0.50,High,Chol,1000
80,80%,5,PO,0.50,High,Chol,1000
50,100%,5,PO,0.00,High,DOPE,1000
80,100%,5,PO,0.00,High,DOPE,1000
50,100%,5,PO,0.05,High,DOPE,1000
80,100%,5,PO,0.05,High,DOPE,1000
50,100%,5,PO,0.50,High,DOPE,1000
80,100%,5,PO,0.50,High,DOPE,1000
50,100%,5,PS,0.00,High,Chol,1000
80,100%,5,PS,0.00,High,Chol,1000
50,100%,5,PS,0.05,High,Chol,1000
80,100%,5,PS,0.05,High,Chol,1000
50,100%,5,PS,0.50,High,Chol,1000
80,100%,5,PS,0.50,High,Chol,1000
50,80%,5,PS,0.00,High,Chol,1000
80,80%,5,PS,0.00,High,Chol,1000
50,80%,5,PS,0.05,High,Chol,1000
80,80%,5,PS,0.05,High,Chol,1000
50,80%,5,PS,0.50,High,Chol,1000
80,80%,5,PS,0.50,High,Chol,1000
50,100%,5,PS,0.00,High,DOPE,1000
80,100%,5,PS,0.00,High,DOPE,1000
50,100%,5,PS,0.05,High,DOPE,1000
80,100%,5,PS,0.05,High,DOPE,1000
50,100%,5,PS,0.50,High,DOPE,1000
80,100%,5,PS,0.50,High,DOPE,1000
50,100%,3,PO,0.00,VHigh,DOPE,1000
80,100%,3,PO,0.00,VHigh,DOPE,1000
50,100%,3,PO,0.05,VHigh,DOPE,1000
80,100%,3,PO,0.05,VHigh,DOPE,1000
50,100%,3,PO,0.50,VHigh,DOPE,1000
80,100%,3,PO,0.50,VHigh,DOPE,1000
50,100%,3,PS,0.00,VHigh,DOPE,1000
80,100%,3,PS,0.00,VHigh,DOPE,1000
50,100%,3,PS,0.05,VHigh,DOPE,1000
80,100%,3,PS,0.05,VHigh,DOPE,1000
50,100%,3,PS,0.50,VHigh,DOPE,1000
80,100%,3,PS,0.50,VHigh,DOPE,1000
50,100%,5,PO,0.00,VHigh,DOPE,1000
80,100%,5,PO,0.00,VHigh,DOPE,1000
50,100%,5,PO,0.05,VHigh,DOPE,1000
80,100%,5,PO,0.05,VHigh,DOPE,1000
50,100%,5,PO,0.50,VHigh,DOPE,1000
80,100%,5,PO,0.50,VHigh,DOPE,1000
50,100%,5,PS,0.00,VHigh,DOPE,1000
80,100%,5,PS,0.00,VHigh,DOPE,1000
50,100%,5,PS,0.05,VHigh,DOPE,1000
80,100%,5,PS,0.05,VHigh,DOPE,1000
50,100%,5,PS,0.50,VHigh,DOPE,1000
80,100%,5,PS,0.50,VHigh,DOPE,1000
