Size,Lipid,Orientation,Backbone,PeptideDensity,OligoDensity,Attachment,Sequence
50,100%,5,PO,0,High,Chol,0
80,100%,5,PO,0,High,Chol,0
50,100%,5,PO,0.05,High,Chol,0
80,100%,5,PO,0.05,High,Chol,0
50,100%,5,PO,0.5,High,Chol,0
80,100%,5,PO,0.5,High,Chol,0
50,80%,5,PO,0,High,Chol,0
80,80%,5,PO,0,High,Chol,0
50,80%,5,PO,0.05,High,Chol,0
80,80%,5,PO,0.05,High,Chol,0
50,80%,5,PO,0.5,High,Chol,0
80,80%,5,PO,0.5,High,Chol,0
50,100%,5,PO,0,Low,DOPE,0
80,100%,5,PO,0,Low,DOPE,0
50,100%,5,PO,0.05,Low,DOPE,0
80,100%,5,PO,0.05,Low,DOPE,0
50,100%,5,PO,0.5,Low,DOPE,0
80,100%,5,PO,0.5,Low,DOPE,0
50,100%,5,PS,0,High,Chol,0
80,100%,5,PS,0,High,Chol,0
50,100%,5,PS,0.05,High,Chol,0
80,100%,5,PS,0.05,High,Chol,0
50,100%,5,PS,0.5,High,Chol,0
80,100%,5,PS,0.5,High,Chol,0
50,80%,5,PS,0,High,Chol,0
80,80%,5,PS,0,High,Chol,0
50,80%,5,PS,0.05,High,Chol,0
80,80%,5,PS,0.05,High,Chol,0
50,80%,5,PS,0.5,High,Chol,0
80,80%,5,PS,0.5,High,Chol,0
50,100%,5,PS,0,Low,DOPE,0
80,100%,5,PS,0,Low,DOPE,0
50,100%,5,PS,0.05,Low,DOPE,0
80,100%,5,PS,0.05,Low,DOPE,0
50,100%,5,PS,0.5,Low,DOPE,0
80,100%,5,PS,0.5,Low,DOPE,0
