Size,Lipid,Orientation,Backbone,OligoDensity,Attachment,Sequence,SEAP
80,100%,3,PO,VHigh,DOPE,0,1000
80,100%,3,PS,VHigh,DOPE,0,1000
80,100%,5,PO,VHigh,DOPE,0,1000
80,100%,5,PS,VHigh,DOPE,0,1000
50,100%,3,PO,High,Chol,0,1000
80,100%,3,PO,High,Chol,0,1000
50,80%,3,PO,High,Chol,0,1000
80,80%,3,PO,High,Chol,0,1000
50,100%,3,PO,Low,DOPE,0,1000
80,100%,3,PO,Low,DOPE,0,1000
50,100%,3,PS,High,Chol,0,1000
80,100%,3,PS,High,Chol,0,1000
50,80%,3,PS,High,Chol,0,1000
80,80%,3,PS,High,Chol,0,1000
50,100%,3,PS,Low,DOPE,0,1000
80,100%,3,PS,Low,DOPE,0,1000
50,100%,5,PO,High,Chol,0,1000
80,100%,5,PO,High,Chol,0,1000
50,80%,5,PO,High,Chol,0,1000
80,80%,5,PO,High,Chol,0,1000
50,100%,5,PO,Low,DOPE,0,1000
80,100%,5,PO,Low,DOPE,0,1000
50,100%,5,PS,High,Chol,0,1000
80,100%,5,PS,High,Chol,0,1000
50,80%,5,PS,High,Chol,0,1000
80,80%,5,PS,High,Chol,0,1000
50,100%,5,PS,Low,DOPE,0,1000
80,100%,5,PS,Low,DOPE,0,1000
